variable,label,include,comments,,,,,,,,,,,,,,,,,,,,,,,
cb068_4_,How Many Grandchildren Under 16 Does R's No.4 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_5_,How Many Grandchildren Under 16 Does R's No.5 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_6_,How Many Grandchildren Under 16 Does R's No.6 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_7_,How Many Grandchildren Under 16 Does R's No.7 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_8_,How Many Grandchildren Under 16 Does R's No.8 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_9_,How Many Grandchildren Under 16 Does R's No.9 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_10_,How Many Grandchildren Under 16 Does R's No.10 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_11_,How Many Grandchildren Under 16 Does R's No.11 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_12_,How Many Grandchildren Under 16 Does R's No.12 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb068_13_,How Many Grandchildren Under 16 Does R's No.13 Living Adult Child Have,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_1_,Does R's No.1 Living Adult Child Participate In The New Rural Social Pension Ins,no,孩子是否参加新农合不知道有没有关系,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_2_,Does R's No.2 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_3_,Does R's No.3 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_4_,Does R's No.4 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_5_,Does R's No.5 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_6_,Does R's No.6 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_7_,Does R's No.7 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_8_,Does R's No.8 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_9_,Does R's No.9 Living Adult Child Participate In The New Rural Social Pension Ins,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_10_,Does R's No.10 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_11_,Does R's No.11 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_12_,Does R's No.12 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_13_,Does R's No.13 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_14_,Does R's No.14 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_15_,Does R's No.15 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_2_16_,Does R's No.16 Living Adult Child Participate In The New Rural Social Pension In,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_1_,R's No.1 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_2_,R's No.2 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_3_,R's No.3 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_4_,R's No.4 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_5_,R's No.5 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_6_,R's No.6 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_7_,R's No.7 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_8_,R's No.8 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_9_,R's No.9 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_10_,R's No.10 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_11_,R's No.11 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_12_,R's No.12 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_1_13_,R's No.13 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_1_,R's No.1 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_2_,R's No.2 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_3_,R's No.3 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_4_,R's No.4 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_5_,R's No.5 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_6_,R's No.6 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_7_,R's No.7 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_8_,R's No.8 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_9_,R's No.9 Living Adult Child Was First Cover By New Rural Social Pension Insuranc,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_10_,R's No.10 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_11_,R's No.11 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_12_,R's No.12 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_3_2_13_,R's No.13 Living Adult Child Was First Cover By New Rural Social Pension Insuran,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_1_s1,Does R's No.1 Living Adult Child's Participation Related To Parents: Yes,no,这个感觉不太相关，但也不确定,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_2_s1,Does R's No.2 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_3_s1,Does R's No.3 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_4_s1,Does R's No.4 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_5_s1,Does R's No.5 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_6_s1,Does R's No.6 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_7_s1,Does R's No.7 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_8_s1,Does R's No.8 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_9_s1,Does R's No.9 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_10_s1,Does R's No.10 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_11_s1,Does R's No.11 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_12_s1,Does R's No.12 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_13_s1,Does R's No.13 Living Adult Child's Participation Related To Parents: Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_1_s2,Does R's No.1 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_2_s2,Does R's No.2 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_3_s2,Does R's No.3 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_4_s2,Does R's No.4 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_5_s2,Does R's No.5 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_6_s2,Does R's No.6 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_7_s2,Does R's No.7 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_8_s2,Does R's No.8 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_9_s2,Does R's No.9 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_10_s2,Does R's No.10 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_11_s2,Does R's No.11 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_12_s2,Does R's No.12 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_13_s2,Does R's No.13 Living Adult Child's Participation Related To Parents: No,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_1_s3,Does R's No.1 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_2_s3,Does R's No.2 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_3_s3,Does R's No.3 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_4_s3,Does R's No.4 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_5_s3,Does R's No.5 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_6_s3,Does R's No.6 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_7_s3,Does R's No.7 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_8_s3,Does R's No.8 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_9_s3,Does R's No.9 Living Adult Child's Participation Related To Parents: Other Reaso,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_10_s3,Does R's No.10 Living Adult Child's Participation Related To Parents: Other Reas,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_11_s3,Does R's No.11 Living Adult Child's Participation Related To Parents: Other Reas,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_12_s3,Does R's No.12 Living Adult Child's Participation Related To Parents: Other Reas,no,,,,,,,,,,,,,,,,,,,,,,,,
cb064_w3_4_13_s3,Does R's No.13 Living Adult Child's Participation Related To Parents: Other Reas,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_1_,The Total Income Of R's No.1 Living Adult Child Last Year,no,孩子的收入应该有关系,,,,,,,,,,,,,,,,,,,,,,,
cb069_2_,The Total Income Of R's No.2 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_3_,The Total Income Of R's No.3 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_4_,The Total Income Of R's No.4 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_5_,The Total Income Of R's No.5 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_6_,The Total Income Of R's No.6 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_7_,The Total Income Of R's No.7 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_8_,The Total Income Of R's No.8 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_9_,The Total Income Of R's No.9 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_10_,The Total Income Of R's No.10 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_11_,The Total Income Of R's No.11 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_12_,The Total Income Of R's No.12 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_13_,The Total Income Of R's No.13 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_14_,The Total Income Of R's No.14 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_15_,The Total Income Of R's No.15 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb069_16_,The Total Income Of R's No.16 Living Adult Child Last Year,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_1_,Does R's No.1 Living Adult Child Own A House,no,孩子的财产应该也有关系,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_2_,Does R's No.2 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_3_,Does R's No.3 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_4_,Does R's No.4 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_5_,Does R's No.5 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_6_,Does R's No.6 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_7_,Does R's No.7 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_8_,Does R's No.8 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_9_,Does R's No.9 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_10_,Does R's No.10 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_11_,Does R's No.11 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_12_,Does R's No.12 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_13_,Does R's No.13 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_14_,Does R's No.14 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_15_,Does R's No.15 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb071_w3_16_,Does R's No.16 Living Adult Child Own A House,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_1_,The Present Value Of Houses That R's No.1 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_2_,The Present Value Of Houses That R's No.2 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_3_,The Present Value Of Houses That R's No.3 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_4_,The Present Value Of Houses That R's No.4 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_5_,The Present Value Of Houses That R's No.5 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_6_,The Present Value Of Houses That R's No.6 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_7_,The Present Value Of Houses That R's No.7 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_8_,The Present Value Of Houses That R's No.8 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_9_,The Present Value Of Houses That R's No.9 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_10_,The Present Value Of Houses That R's No.10 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_11_,The Present Value Of Houses That R's No.11 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_12_,The Present Value Of Houses That R's No.12 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_13_,The Present Value Of Houses That R's No.13 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
cb072_w3_14_,The Present Value Of Houses That R's No.14 Living Adult Child Owns,no,,,,,,,,,,,,,,,,,,,,,,,,
xsiblingnum,Number Of R's Sibling(s),no,兄弟姐妹数量应该有关系,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s1,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s2,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s3,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s4,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s5,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s6,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s7,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s8,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s9,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s10,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s11,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s12,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s13,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s14,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s15,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc001_w3s97,R's Sibling(s) Died Since 2014,no,,,,,,,,,,,,,,,,,,,,,,,,
cc000_w3_1,Number Of R's Living Siblings By 2014,no,兄弟姐妹应该也能给予社会支持,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_1_,R's Sibling's Highest Level Of Education,no,兄弟姐妹的学历应该也相关，但我怀疑和对象自己的学历存在多重共线性,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_2_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_3_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_4_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_5_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_6_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_7_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_8_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_9_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_10_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_11_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_12_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_13_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_14_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_15_,R's Sibling's Highest Level Of Education,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_1_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_2_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_3_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_4_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_5_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_6_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_7_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_8_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_9_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_10_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_11_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_12_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_13_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_14_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc003_w3_0_15_,R's Sibling Is Literate,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_1_,R's Sibling Is The Party Member,no,党员同理,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_2_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_3_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_4_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_5_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_6_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_7_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_8_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_9_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_10_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_11_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_12_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_13_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_14_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc004_w3_15_,R's Sibling Is The Party Member,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_1_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_2_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_3_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_4_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_5_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_6_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_7_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_8_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_9_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_10_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_11_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_12_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_13_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_14_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc005_w3_15_,R's Sibling Belongs To The Ethnic Minorites,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_1_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_2_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_3_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_4_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_5_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_6_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_7_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_8_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
cc006_w3_9_,Which Ethnic Minority Does R's Sibling Belong To,no,,,,,,,,,,,,,,,,,,,,,,,,
